lead_fragment,library_fragment,library_source,similarity,analogue_smiles,docking_score,delta_docking_score
F[*:1],C[*:1],ZINC000014618536,0.8019,Cc1ccc(-c2nc(N(C)S(C)(=O)=O)nc(C(C)C)c2/C=C/[C@H](O)C[C@H](O)CC(=O)O)cc1,-5.8,0.9000000000000004
O[*:1],N[*:1],ZINC000003156382,0.9336,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](N)C[C@H](O)CC(=O)O,-6.8,-0.09999999999999964
O[*:1],Cl[*:1],ZINC000014689040,0.9121,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](Cl)C[C@H](O)CC(=O)O,-5.8,0.9000000000000004
O[*:1],Br[*:1],ZINC000000800349,0.9006,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](Br)C[C@H](O)CC(=O)O,-5.9,0.7999999999999998
O[*:1],C[*:1],ZINC000014618536,0.8819,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](C)C[C@H](O)CC(=O)O,-6.4,0.2999999999999998
O[*:1],F[*:1],ZINC000065249023,0.8701,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](F)C[C@H](O)CC(=O)O,-6.8,-0.09999999999999964
O=C(O)C[C@@H](O)C[*:1],O=C(O)CC[C@H](O)[*:1],ZINC000100770509,0.9534,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)[C@@H](O)CCC(=O)O,-5.7,1.0
O=C(O)C[C@@H](O)C[*:1],C[C@@H]1N=C(O)N[C@@H]1[*:1],ZINC000094437777,0.9412,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)[C@H]1NC(O)=N[C@H]1C,-6.8,-0.09999999999999964
O=C(O)C[C@@H](O)C[*:1],O=C(O)C[C@H](O)C[*:1],ZINC000012493608,0.9393,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@@H](O)CC(=O)O,-6.1,0.6000000000000005
O=C(O)C[C@@H](O)C[*:1],C[C@H](CCO)C[*:1],ZINC000001561960,0.9387,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](C)CCO,-6.4,0.2999999999999998
O=C(O)C[C@@H](O)C[*:1],C[C@@H](CCO)C[*:1],ZINC000014655148,0.9387,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@@H](C)CCO,-5.9,0.7999999999999998
O=C(O)C[C@@H](O)[*:1],N[C@H](CC(=O)O)[*:1],ZINC000050027288,0.9487,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](N)CC(=O)O,-6.0,0.7000000000000002
O=C(O)C[C@@H](O)[*:1],N[C@@H](CC(=O)O)[*:1],ZINC000003645672,0.9487,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@@H](N)CC(=O)O,-5.6,1.1000000000000005
O=C(O)C[C@@H](O)[*:1],O=C(O)[C@H](O)[C@H](O)[*:1],ZINC000000901063,0.9372,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@@H](O)[C@@H](O)C(=O)O,-6.9,-0.20000000000000018
O=C(O)C[C@@H](O)[*:1],O[C@H](CS)[*:1],ZINC000000968222,0.9348,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CS,-5.5,1.2000000000000002
O=C(O)C[C@@H](O)[*:1],O=[S@@](O)CC[*:1],ZINC000025720432,0.9340,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)CCC[S@@](=O)O,-6.3,0.40000000000000036
O=C(O)C[*:1],O=C(O)[C@H](F)[*:1],ZINC000003634659,0.9815,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)[C@@H](F)C(=O)O,-6.9,-0.20000000000000018
O=C(O)C[*:1],O=C(O)[C@@H](F)[*:1],ZINC000003634658,0.9815,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)[C@H](F)C(=O)O,-6.7,0.0
O=C(O)C[*:1],O=COC[*:1],ZINC000040164573,0.9403,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)COC=O,-5.8,0.9000000000000004
O=C(O)C[*:1],O=C(O)[C@H](Cl)[*:1],ZINC000004654824,0.9352,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)[C@@H](Cl)C(=O)O,-6.0,0.7000000000000002
O=C(O)C[*:1],O=C(O)[C@@H](Cl)[*:1],ZINC000004654823,0.9352,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)[C@H](Cl)C(=O)O,-5.6,1.1000000000000005
O=C(O)[*:1],ON[*:1],ZINC000000901599,0.9458,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CNO,-5.8,0.9000000000000004
O=C(O)[*:1],O=CN[*:1],ZINC000000895844,0.9297,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CNC=O,-5.7,1.0
O=C(O)[*:1],N=C(O)[*:1],ZINC000085551904,0.9284,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(=N)O,-6.6,0.10000000000000053
O=C(O)[*:1],NN[*:1],ZINC000000193573,0.9227,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CNN,-5.8,0.9000000000000004
O=C(O)[*:1],NC(=O)[*:1],ZINC000057448070,0.9186,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H](O)C[C@H](O)CC(N)=O,-5.7,1.0
