fragment_smiles,source_label,n_conformers
c1nc(C[*:1])c[nH]1,ZINC000070692347,2
c1nc([*:1])c[nH]1,ZINC000070692347,1
C[C@@H](O)[*:1],ZINC000014504503,1
CC[C@@H](C(C)C)[*:1],ZINC000119376337,5
CC[C@H](C[*:1])C(C)C,ZINC000119376337,7
O=C(O)[C@@H](O)[*:1],ZINC000085795093,1
CC[C@@H](C)[*:1],ZINC000014684362,2
CC[C@@H](C)C[*:1],ZINC000014684362,4
CC[C@@H](C)CC[*:1],ZINC000014684362,6
CC[C@@H](C)CCC[*:1],ZINC000014684362,9
O=C(N1CCCC1)[*:1],ZINC000014684362,1
C[C@@H]1O[C@@]1(C)[*:1],ZINC000198041993,1
O=C(CO)[*:1],ZINC000001322099,2
N#CC[C@@H](C(=O)O)[*:1],ZINC000000901380,4
N#CC[C@H](N)[*:1],ZINC000000901380,3
CC(=O)N[*:1],ZINC000070691784,1
CC(=O)NC[*:1],ZINC000070691784,3
CC(=O)NC[C@H](C)[*:1],ZINC000070691784,7
CC1=C[C@@H]([*:1])OC1=O,ZINC000014636762,1
C=CCC[*:1],ZINC000001693210,4
C=CCCC[*:1],ZINC000001693210,7
OCCCCCC[*:1],ZINC000001693210,8
C=CCCCC[*:1],ZINC000001693210,9
OCCCCC[*:1],ZINC000001693210,9
C=CCCCCC[*:1],ZINC000001693210,10
OCCCC[*:1],ZINC000001693210,7
CC(=O)OC[*:1],ZINC000685935585,3
CC(C)[C@H](N)[*:1],ZINC000001578619,3
C[C@H](C(=O)O)[*:1],ZINC000001578619,2
CCO[*:1],ZINC000100777843,2
c1cc([*:1])cs1,ZINC000524732118,1
OC[C@H](O)[*:1],ZINC000002530725,3
OC[C@H](O)[C@H](O)[*:1],ZINC000002530725,6
CCOC(=O)N[*:1],ZINC000014443990,3
CCOC(=O)NC[*:1],ZINC000014443990,5
Br[*:1],ZINC000000800349,1
C=C(C)C[*:1],ZINC000524730091,3
C=C(C)CO[*:1],ZINC000524730091,3
C1CN=C(NC[*:1])C1,ZINC000004162814,2
C1CN=C(N[*:1])C1,ZINC000004162814,1
Cn1cccc1[*:1],ZINC000020464861,1
CCCCC[C@H](O)[*:1],ZINC000012496636,8
O=C(O)CCC[*:1],ZINC000012496636,6
CC(=O)OCC(=O)[*:1],ZINC000008789069,5
c1cn(CC[*:1])cn1,ZINC000263584858,5
c1cn(C[*:1])cn1,ZINC000263584858,2
c1cn([*:1])cn1,ZINC000263584858,1
O=S1(=O)CC[C@H]([*:1])C1,ZINC000021670315,2
CSC[*:1],ZINC000095617774,3
CSCC[*:1],ZINC000095617774,6
CSCC[C@H](N)[*:1],ZINC000095617774,8
c1csc(C[*:1])n1,ZINC000096112238,4
c1csc([*:1])n1,ZINC000096112238,1
N=C(O)O[*:1],ZINC000030731156,1
N=C(O)OC[*:1],ZINC000030731156,1
O=C1CC[C@H]([*:1])C1=O,ZINC000000394532,2
C[C@H](C(=O)O)[C@H](C)[*:1],ZINC000257457314,4
O=C(O)/C=C/[*:1],ZINC000000153654,1
Cc1cccc([*:1])c1,ZINC000252584456,1
C1CN(C[*:1])CCO1,ZINC000252584456,4
C1CN([*:1])CCO1,ZINC000252584456,2
BrC[*:1],ZINC000002566370,1
O=C(CBr)[*:1],ZINC000002566370,3
O=C(C[*:1])NCCO,ZINC000828765262,7
O=C(NCCO)[*:1],ZINC000828765262,4
C[C@@H](C(=O)O)[*:1],ZINC000004084657,2
CC(C)CC(=O)[*:1],ZINC000230066600,3
CCCC[C@@H](CC)[*:1],ZINC000001850596,9
CCN(CC)[*:1],ZINC000514289394,5
CCN(CC)C[*:1],ZINC000514289394,3
FC(Cl)(Cl)[*:1],ZINC000008214541,1
FC(F)(Cl)[*:1],ZINC000008214541,1
CO/C(S)=N\[*:1],ZINC000085877521,1
CO/C(S)=N\C[*:1],ZINC000085877521,3
CCCC/C=C/[*:1],ZINC000014616295,7
O=C(O)CCCC[*:1],ZINC000014616295,9
C(C[C@@H]1CS1)C[*:1],ZINC000005157246,10
C(C[*:1])[C@@H]1CS1,ZINC000005157246,5
C1S[C@@H]1C[*:1],ZINC000005157246,3
N#CCC[*:1],ZINC000005157246,2
C1S[C@@H]1[*:1],ZINC000005157246,1
N#CCCC[*:1],ZINC000005157246,3
CC(=O)[C@@H](C)S[*:1],ZINC000003861605,5
CC(=O)[C@@H](C)[*:1],ZINC000003861605,3
CS[C@@H](C(C)=O)[*:1],ZINC000003861605,5
CS[C@H](C)[*:1],ZINC000003861605,2
CS[C@H](C)C(=O)[*:1],ZINC000003861605,6
O=S(=O)(O)O[*:1],ZINC000257442509,1
CC1(C)[C@H]([*:1])C[C@@H]1N,ZINC000067890053,2
C/C=C(/C)[*:1],ZINC000005132543,1
C/C=C(/C)C(=O)O[*:1],ZINC000005132543,2
CC(C)C(=O)N[*:1],ZINC000095919028,3
NCC[*:1],ZINC000034114361,2
NCCC[*:1],ZINC000034114361,4
NCCCC[*:1],ZINC000034114361,7
C1CN[C@H]([*:1])C1,ZINC000034114361,2
c1ccc(O[*:1])cc1,ZINC000096112585,1
CC/C(C)=C\[*:1],ZINC000015107247,3
CCO[C@H](C)OC[*:1],ZINC000005820341,4
CCO[C@H](C)O[*:1],ZINC000005820341,3
CCCCCCO[*:1],ZINC000005820341,9
CCO[C@H](C)[*:1],ZINC000005820341,3
CCCC[C@H](CC)[*:1],ZINC000005822039,10
CCOC(=O)[*:1],ZINC000005822039,3
O=C1C=C([*:1])[C@@H](O)O1,ZINC000257535637,1
O=P(O)(O)C[*:1],ZINC000012296982,1
O=P(O)(O)[*:1],ZINC000012296982,1
NC(=O)C[C@@H](N)[*:1],ZINC000050027743,7
C1CC[C@H]([*:1])NC1,ZINC000005964796,1
CCC(=O)[*:1],ZINC000005964796,2
CC(C)[C@H](C(=O)O)[*:1],ZINC000050027620,5
NC(=O)CC[C@@H](N)[*:1],ZINC000050027620,4
NC(=O)CC[*:1],ZINC000050027620,3
N=C(O)N[*:1],ZINC000014446138,1
N=C(O)NC[*:1],ZINC000014446138,3
N=C(O)NC[C@H](O)[*:1],ZINC000014446138,5
O=C[C@H](O)[*:1],ZINC000100004705,2
O=C(O)[C@@H](O)[C@@H](O)[*:1],ZINC000100004705,3
O=C[C@H](O)[C@@H](O)[*:1],ZINC000100004705,5
O=CC[*:1],ZINC000100780600,2
CC[C@](C)(O)[*:1],ZINC000257452800,3
CC[C@](C)(O)C[*:1],ZINC000257452800,7
O=C(O)C[C@@H](O)C[*:1],ZINC000002009963,7
O=C(O)C[C@@H](O)[*:1],ZINC000002009963,4
C/C=C/[*:1],ZINC000012898648,1
C/C=C/C[*:1],ZINC000012898648,2
C/C=C/CO[*:1],ZINC000012898648,4
O=CO[*:1],ZINC000040164573,1
O=COC[*:1],ZINC000040164573,3
c1coc(CC[*:1])c1,ZINC000002561200,5
c1coc(C[*:1])c1,ZINC000002561200,3
c1coc([*:1])c1,ZINC000002561200,1
SCCCC[*:1],ZINC000257466497,5
SCCC[*:1],ZINC000257466497,6
SCC[*:1],ZINC000257466497,2
SC[*:1],ZINC000257466497,1
CC(=O)OC(C)(C)[*:1],ZINC000257404532,1
CN[*:1],ZINC000150342244,1
CNC[*:1],ZINC000150342244,2
N[C@H](CS)C(=O)N[*:1],ZINC000056635206,6
N[C@H](CS)[*:1],ZINC000056635206,2
CC(C)(O)[C@@H](O)C[*:1],ZINC000257387409,5
CC(C)(O)[C@@H](O)[*:1],ZINC000257387409,3
