framework_scaffold	count
C1CC[C@@H]2C=CCC[C@H]2C1	48
C1CCO[C@@H](C1)OC[C@@H]2CC[C@@H]3[C@@H]2CC[C@H]4[C@@H]3CC[C@@H]5[C@H]4CC[C@@H](C5)O[C@H]6[C@H](CCCO6)O[C@H]7CCCCO7	48
C1CC[C@]2(CCCC2)CC1	48
c1ccc(cc1)OC2=COc3ccccc3C2	48
C1CC[C@@H]2[C@@H](C1)CC[C@]34[C@H]2CC[C@H](C3)CC4	47
C1CC[C@H]2[C@@H](C1)CCC3=C2CC[C@H]4[C@H]3CCC4	47
C1CCO[C@@H](C1)O[C@H]2CC[C@H]3[C@@H]4CC[C@H]5CCC[C@@H]5[C@H]4CC=C3C2	46
C1CC[C@H]2CC3=CCO[C@H]3C[C@@H]2C1	46
C1CCC2=CCCC[C@H]2C1	46
c1ccsc1	45
C1CC[C@H]2C=CCC[C@H]2C1	44
C1CC[C@@H]2CC3=CCO[C@@H]3C[C@@H]2C1	44
c1ccc(cc1)C2=Cc3ccccc3OC2	44
c1cc2c(c3c1C=CCO3)CCO2	44
C1CC[C@@H]2[C@@H](C1)CC[C@H]3C2=CC[C@@H]4[C@H]3CC[C@@H]5[C@H]4CC[C@H](C5)O[C@@H]6[C@H](CCCO6)O[C@H]7CCCCO7	44
c1ccc(cc1)C2=C(Cc3ccccc3O2)O[C@@H]4[C@H](CC[C@@H](O4)CO[C@H]5CCCCO5)O[C@H]6CCCCO6	44
c1ccc(cc1)c2coc3c2cc4c(c3)OCC=C4	43
c1ccc2c(c1)CCC2	43
c1ccc(cc1)C2=CCc3cc(cc(c3O2)[C@H]4CCCCO4)[C@H]5CCCCO5	43
C1C[C@@H](OC1)CCCCCCCCCCC[C@@H]2CCCO2	43
c1ccc(cc1)C2=CCc3ccc(cc3O2)O[C@@H]4[C@H](CCCO4)O[C@H]5CCCCO5	42
C1CC[C@H]2C=CCC[C@@H]2C1	42
c1ccc(cc1)O[C@@H]2CCC[C@@H](O2)CO[C@H]3CCCCO3	41
C1CC=C2CC[C@H]3[C@H]4CCC[C@H]4CC[C@H]3[C@H]2C1	40
c1ccc2c(c1)CC=CC2	40
c1cc2c(c3c1C=CCO3)CCCO2	40
c1ccc(cc1)CCCCCCCc2ccccc2	39
C1CC[C@@H]2C=CCC[C@@H]2C1	39
c1ccc2c(c1)Cc3ccccc3C2	39
c1ccc(cc1)COc2ccc3c(c2)OCC=C3	38
c1ccc2ccccc2c1	38
c1ccc2c(c1)[C@@H]3COc4ccccc4[C@@H]3O2	38
C1C[C@@H]2CC[C@H](C1)N2	38
c1ccc(cc1)C2=C(Cc3ccc(cc3O2)O[C@H]4CCCCO4)O[C@H]5CCCCO5	37
c1ccc(cc1)Oc2ccccc2	37
C1CC[C@H]2[C@@H](C1)CC=C3[C@H]2CC[C@@H]4[C@@H]3CCC4	37
C1CC[C@H]2[C@@H](C1)CC=C3[C@H]2CC[C@H]4[C@@H]3CCC4	37
C1C[C@]2(C=CCCC2)CC1	37
C1CC1	37
C1CC[C@H]2CCC[C@@H]2C1	36
c1ccc2c(c1)CCO2	36
c1ccc(cc1)C2=C(Cc3ccc(cc3O2)O[C@@H]4CCCCO4)O[C@H]5CCCCO5	36
C1CCC2=CC[C@H]3[C@H]4CCC[C@H]4CC[C@H]3[C@H]2C1	35
C1C[C@H]2CC[C@H](C1)N2	35
c1ccc(cc1)C2=CCc3cccc(c3O2)[C@H]4[C@H](CCCO4)O[C@H]5CCCCO5	35
c1ccc2c(c1)[C@H]3COc4ccccc4[C@H]3O2	35
c1ccc2c(c1)c3c([nH]2)CNCC3	35
C1[C@@H]2[C@H]3C2CC1C3	35
c1ccc(cc1)/C=C\CO[C@H]2CCCCC2	35
c1ccc(cc1)[C@H]2CCc3ccc(cc3O2)O[C@H]4CCCCO4	35
c1ccc2c(c1)CCCC2	35
c1ccc(cc1)C2=CCc3cc(ccc3O2)[C@H]4CCCCO4	35
C1CC[C@@H]2[C@H](C1)CC[C@@H]3[C@@H]2CC=C4[C@H]3CC[C@@H]5[C@@H]4CCCC5	34
c1ccc2c(c1)c3ccccc3[nH]2	34
C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@@H]3CCC4	34
c1ccc2c(c1)CCC=C2	34
c1ccc(cc1)c2ccc3cccc4c3c2CCC4	34
C1CC[C@H]2[C@H](C1)O2	34
c1ccc2c(c1)[C@H]3COc4ccccc4[C@@H]3O2	34
C1CC[C@H]2[C@H](C1)CCC3=C2CC[C@H]4[C@@H]3CCC4	34
c1ccc2c(c1)CC=C(O2)c3ccc(cc3)O[C@H]4CCCCO4	33
c1cc2c(cc1)[C@@H](c3c(cccc3)C2)[C@@H]4OCCCC4	33
c1ccc2c(c1)CCOC2	33
C1CCO[C@H](C1)O[C@@H]2CCCOC2	33
C1CCO[C@H](C1)O[C@H]2CC[C@H]3[C@H](C2)CC[C@H]4[C@H]3CC[C@H]5[C@@H]4CC[C@H]5C6=CCOC6	33
c1ccc(cc1)CCNCc2ccccc2	33
c1ccc2c(c1)[C@@H]3COc4ccccc4[C@H]3O2	33
C1CC[C@H]2[C@@H](C1)CC[C@H]3[C@H]2CC[C@H]4[C@H]3CC[C@H]5[C@@H]4CCC5	32
C1CC[C@@H]2[C@H](C1)CC[C@@H]3[C@@H]2CC=C4[C@H]3CC[C@@H]5[C@H]4CCCC5	32
c1ccc(cc1)[C@H]2CCc3ccc(cc3O2)O[C@@H]4CCCCO4	32
C1CC[C@H]2[C@H](C1)CC=C3C2=CC[C@H]4[C@@H]3CCC4	32
C1CC[C@@H]2[C@H](C1)CC[C@H]3[C@@H]2CC=C4[C@H]3CC[C@H]5[C@@H]4CCCC5	32
C1CC[C@@H]2CCC[C@H]2C1	32
C1CC[C@@H]2[C@H](C1)C[C@@]34[C@@H]2CC[C@H](C3)CC4	32
c1ccc(cc1)CCO[C@@H]2CCCCO2	32
C1CC[C@@H]2[C@@H](C1)C[C@@]34[C@@H]2CC[C@H](C3)CC4	32
C1CC[C@H]2[C@@H](C1)CC=C3[C@@H]2CC[C@H]4[C@@H]3CCC4	32
c1ccc(cc1)/C=C/CO[C@H]2CCCCO2	31
c1ccc2c(c1)CCN2	31
C1CC[C@H]2[C@@H](C1)CC=C3[C@@H]2CC[C@@H]4[C@@H]3CCC4	31
C1CC[C@H]2[C@@H](C1)CCC3=C2CC[C@H]4[C@@H]3CCC4	31
C1CC[C@H]2CC=CC[C@H]2C1	31
C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@H]2CC[C@H]4[C@@H]3CCC4	31
c1ccc2c(c1)Cc3ccc4c(c3N2)CCO4	30
c1ccc(cc1)C2=CCc3cccc(c3O2)O[C@H]4CCCCO4	30
C1CC[C@H]2[C@H](C1)CC=C3C2=CC[C@@H]4[C@@H]3CCC4	30
c1ccc2c(c1)CCCC3=CCC=CC=C23	30
c1ccc(cc1)[C@@H]2CCc3ccc(cc3O2)O[C@H]4CCCCO4	30
c1ccc2c(c1)CCNC2	30
c1ccc(cc1)CCNC/C=C/c2ccccc2	29
c1ccc2c(c1)CC=C(O2)c3ccc(cc3)O[C@@H]4CCCCO4	29
c1cc2c(cc1)[C@@H](c3c(cccc3)C2)[C@H]4c5c(cccc5)Cc6c4cccc6	29
c1ccc(cc1)CCO[C@H]2CCCCO2	29
C1C[C@@H](OC1)N2CNCC=C2	29
c1ccc(cc1)COc2ccc3c(c2)O/C(=C\c4ccccc4)/C3	29
C1CC[C@@H]2[C@@H](C1)CC[C@H]3C2=CC[C@@H]4[C@H]3CC[C@@H]5[C@H]4CC[C@H](C5)O[C@@H]6CCCCO6	29
C1CC=C2CC[C@H]3[C@H]4CCC[C@H]4CC[C@@H]3[C@H]2C1	29
c1ccc(cc1)CO[C@@H]2C[C@H]3[C@H]2C=C[C@H]4[C@H]3CCC4	29
C\1C/C=C/[C@@H]2[C@@H](CC/C=C1)CCO2	29
c1[nH]c2c(n1)NCNC2	28
C1C[C@H]2CO[C@@]3(C1)[C@@H]2C[C@@]45[C@@H]3CC[C@H](C4)CC5	28
c1ccc(cc1)CO[C@@H]2CCC[C@@H](O2)CO[C@H]3CCCCO3	28
C1C[C@@H]2[C@H]3CC[C@H]([C@]34CO4)O[C@H]2C=C1	28
C1CC[C@@H]2[C@H](C1)[C@H]3CC[C@@H]4CCC[C@@H]4[C@@H]3C[C@@H]2O[C@@H]5CCCCO5	28
c1ccc(cc1)/C=C/COC[C@H]2CCC[C@H](O2)O[C@H]3CCCO[C@H]3c4ccc5c(c4)CC=C(O5)c6ccccc6	28
