zinc_id	smiles	framework	ring	sidechain
ZINC000261495528	CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)CO[P@](=O)(O)O[C@@H]1[C@@H](O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1O	C1CCCCC1	C1CCCCC1	CCCCCCCCCCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCCCC/C=C\CCCCCCCC)CO[P@@](=O)(O)O.O.O.O.O.OP(=O)(O)O
ZINC000095620539	CC(=O)c1c(C)c(C)n2c1CCC2	c1cc2n(c1)CCC2	c1cc2n(c1)CCC2	C.C.CC=O
ZINC000261498377	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCCCCC/C=C\C/C=C\CCCC	None	None	None
ZINC000095618035	O=C(O[C@H]1[C@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c4c3Oc3cc(O)c(O)c(O)c3O4)C(=O)OC[C@@H]2O[C@@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1	c1ccc(cc1)CO[C@@H]2CCO[C@@H]3[C@@H]2OCc4ccccc4-c5c(ccc6c5Oc7ccccc7O6)COC3	c1ccccc1.c1ccc-2c(c1)CO[C@@H]3CCCO[C@H]3COCc4c2c5c(cc4)Oc6ccccc6O5	O.O.O.O.O.O.O.O.O.O.O.O.O.O.O
ZINC000070666218	COc1cc2oc(=O)cc(C)c2cc1CCC(=O)Nc1nc(-c2cccnc2)cs1	c1cc(cnc1)c2csc(n2)NCCCc3ccc4c(c3)C=CCO4	c1ccncc1.c1ccc2c(c1)C=CCO2.c1cscn1	C.CO.O.O
ZINC000299817820	C[C@H]1O[C@H](OC[C@H]2O[C@@H](Oc3cc(O)c4c(=O)ccoc4c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O	c1cc2c(cc1O[C@H]3CCC[C@H](O3)CO[C@@H]4CCCCO4)OC=CC2	c1ccc2c(c1)CC=CO2.C1CCOCC1.C1CCOCC1	C.O.O.O.O.O.O.O.O
ZINC000150362092	CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC	None	None	None
ZINC000032167539	CCCCCC(=O)[C@H](C)C(C)=O	None	None	None
ZINC000150363015	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC	None	None	None
ZINC000100829645	C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](COC(=O)/C=C/c3ccc(O)c(O)c3)O[C@@H](OCCc3ccc(O)c(O)c3)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O	c1ccc(cc1)CCO[C@H]2C[C@@H](C[C@H](O2)COC/C=C/c3ccccc3)O[C@@H]4CCCCO4	c1ccccc1.c1ccccc1.C1CCOCC1.C1CCOCC1	C.O.O.O.O.O.O.O.O.O.O
ZINC000685934408	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC	None	None	None
ZINC000095625422	CCCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](O)COC(=O)CCCCCCCCCCCCCC	None	None	None
ZINC000150363503	CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	None	None	None
ZINC000002282904	COc1ccc(-n2c(C)c(C(=O)c3ccccc3)c3cc(O)ccc32)cc1	c1ccc(cc1)Cc2cn(c3c2cccc3)c4ccccc4	c1ccccc1.c1ccccc1.c1ccc2c(c1)cc[nH]2	C.CO.O.O
ZINC000095621628	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OCCCCCCCCCCCCCCCCCC	None	None	None
ZINC000000295824	C=CCc1cccc2cc(C(=O)O)c(=O)oc12	c1ccc2c(c1)C=CCO2	c1ccc2c(c1)C=CCO2	CC=C.C(=O)O.O
ZINC000095622536	CCCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCC	None	None	None
ZINC000012153181	O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc(O)c12	c1ccc(cc1)C2=CCc3ccc(cc3O2)O[C@@H]4CCCCO4	c1ccccc1.c1ccc2c(c1)CC=CO2.C1CCOCC1	CO.O.O.O.O.O.O
ZINC000002384989	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)O	c1ccc2c(c1)cc[nH]2	c1ccc2c(c1)cc[nH]2	C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)N
ZINC000095624897	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCC)OC(=O)CCCCCCCCCCCCC	None	None	None
ZINC000685934115	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCCCC	None	None	None
ZINC000012496774	CC1=C(/C=C/C(C)=C/C=C/C(C)=C\CO)C(C)(C)CCC1	C1CCC=CC1	C1CCC=CC1	C.C.C.C/C(=C\C=C\C(=C/CO)\C)/C=C
ZINC000085582912	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO[P@@](=O)(O)OCCN)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC	None	None	None
ZINC000014616882	C=C[C@@H](CCCCC)O[C@H]1O[C@@H](CO[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O	C1CCO[C@H](C1)CO[C@H]2CCCCO2	C1CCOCC1.C1CCOCC1	CCCCC[C@H](C=C)O.O.O.O.O.O.O
ZINC000085562528	CCCCCCCC/C=C\CCCCCC/C=C\O[C@@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)CO[P@@](=O)(O)OCC[N+](C)(C)C	None	None	None
ZINC000001704590	O=C/C=C/c1ccccc1O	c1ccccc1	c1ccccc1	C=CC=O.O
ZINC000095624607	CCCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCCCCCCCC	None	None	None
ZINC000086050393	CCCCCCC[C@@H](C)CC	None	None	None
ZINC000150376851	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC	None	None	None
ZINC000070455388	C=C1CC[C@]2(C)C[C@H]1[C@]1(C)CCC[C@@]12C	C1C[C@@H]2C[C@H](C1)[C@H]3[C@@H]2CCC3	C1C[C@@H]2C[C@H](C1)[C@H]3[C@@H]2CCC3	C.C.C.C
ZINC000150377836	CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCCCC	None	None	None
ZINC000100825582	C[C@H]1O[C@@H](Oc2cc(O)c3c(c2)O[C@@H](c2ccc(O)c(O)c2)CC3=O)[C@@H](O)[C@@H](O)[C@@H]1O	c1ccc(cc1)[C@H]2CCc3ccc(cc3O2)O[C@H]4CCCCO4	c1ccccc1.c1ccc2c(c1)CCCO2.C1CCOCC1	C.O.O.O.O.O.O.O
ZINC000014616889	CCCCC/C=C\COC(=O)CCC	None	None	None
ZINC000257620653	CCCCCCCCCC/C=C\CC[C@H](O)[C@@H]1CC[C@H]([C@H](O)CC[C@H](O)CCCCCCC[C@@H](O)CC2=C[C@@H](C)OC2=O)O1	C1C[C@@H](OC1)CCCCCCCCCCCCCC2=CCOC2	C1CCOC1.C1C=CCO1	C.CCCCCCCCCC/C=C\CCCO.O.O.O.O
ZINC000150344078	CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)CO[P@@](=O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1O	C1CCCCC1	C1CCCCC1	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCC/C=C\CCCCCC)CO[P@@](=O)(O)O.O.O.O.OP(=O)(O)O.OP(=O)(O)O
ZINC000085586154	CCCCCCCC/C=C\CCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@@H](O)/C=C\CCCCCCCCCCCCC	C1CCOCC1	C1CCOCC1	CCCCCCCCCCCCC/C=C\[C@@H]([C@H](CO)NC(=O)CCCCCCCCCCCCCCC/C=C\CCCCCCCC)O.CO.O.O.O
ZINC000257487414	COC(=O)[C@]1(C)CC[C@@]2(C(=O)O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)CC[C@@]3(C)C(=CC[C@@H]4[C@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]6O)C(C)(C)[C@@H]5CC[C@@]43C)[C@@H]2C1	C1CC[C@]2(CC[C@@H]3[C@H]4CC[C@H]5C[C@H](CC[C@H]5[C@H]4CC=C3[C@@H]2C1)O[C@H]6CCCCO6)CO[C@@H]7CCCCO7	C1CCOCC1.C1CCOCC1.C1CC[C@@H]2[C@H](C1)CC[C@H]3[C@@H]2CC=C4[C@@H]3CC[C@H]5[C@H]4CCCC5	C.C.C.C.C.C.CO.COC=O.C(=O)O.O.O.O.O.O.O.O
ZINC000014916790	CN(C)CCc1c[nH]c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)cc12	c1cc2c(cc[nH]2)cc1O[C@@H]3CCCCO3	c1ccc2c(c1)cc[nH]2.C1CCOCC1	CCN(C)C.CO.O.O.O
ZINC000257747749	C[C@](O)(CC(=O)O)CC(=O)OC[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O	c1ccc(cc1)C2=C(Cc3ccccc3O2)O[C@H]4CCCCO4	c1ccccc1.c1ccc2c(c1)CC=CO2.C1CCOCC1	C[C@](CC(=O)O)(CC(=O)OC)O.O.O.O.O.O.O.O
ZINC000256003595	C/C(=N\OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O	C1CCOCC1	C1CCOCC1	C/C(=N\OS(=O)(=O)O)/S.CO.O.O.O
ZINC000003897050	C=C1C(=O)O[C@@H]2C[C@@]3(C)CCCC(=C)[C@@H]3C[C@@H]12	C1CC[C@@H]2C[C@@H]3[C@H](CCO3)C[C@H]2C1	C1CC[C@@H]2C[C@@H]3[C@H](CCO3)C[C@H]2C1	C.C.C.O
ZINC000150360375	CCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCCCC	None	None	None
ZINC000150365325	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCCCC	None	None	None
ZINC000006068938	Cc1c(O)cc2c(c1C)O[C@](C)(CCC(=O)O)CC2	c1ccc2c(c1)CCCO2	c1ccc2c(c1)CCCO2	C.C.C.CCC(=O)O.O
ZINC000150370855	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COC(=O)CCCCCCCCC/C=C\CCCCCCCC	None	None	None
ZINC000085586797	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCC/C=C\CCCCCCCC)CO[P@@](=O)(O)OCC[N+](C)(C)C	None	None	None
ZINC000261497312	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000014586000	CC[C@H](C)C(=O)c1c(O)c(CC=C(C)C)c(O)c2c(-c3ccccc3)cc(=O)oc12	c1ccc(cc1)C2=CCOc3c2cccc3	c1ccccc1.c1ccc2c(c1)C=CCO2	CC[C@H](C)C=O.CC=C(C)C.O.O.O
ZINC000095624167	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCC	None	None	None
ZINC000118915335	C[C@]12CC[C@@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H]3O)C[C@@H]1CC[C@@H]1[C@@H]2[C@@H]2C[C@]3([C@@H](O)O2)[C@@H](C(=O)CO)CC[C@@H]13	C1CCO[C@H](C1)O[C@@H]2CC[C@H]3[C@H](C2)CC[C@@H]4[C@@H]3[C@@H]5C[C@]6([C@H]4CCC6)CO5	C1CCOCC1.C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@@H]2[C@@H]4C[C@]5([C@H]3CCC5)CO4	C.C(C=O)O.C(=O)O.O.O.O.O
ZINC000012529923	COc1ccc(-c2noc([C@@H]3C[C@H](NC(=O)NC(C)C)CN3C)n2)cc1	c1ccc(cc1)c2nc(on2)[C@@H]3CCCN3	c1ccccc1.c1ncon1.C1CCCN1	C.CC(C)NC(=O)N.CO
ZINC000002038687	CC1=NCCS1	C1CSC=N1	C1CSC=N1	C
ZINC000095622202	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC	None	None	None
ZINC000261499348	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000095619221	CC1(C)CC[C@@]2(C)C(=C3CC[C@H]4[C@@]5(C)CC[C@@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@H]2O)C1	C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@H]2CCC4=C5CCCC[C@@H]5CC[C@@H]34	C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@H]2CCC4=C5CCCC[C@@H]5CC[C@@H]34	C.C.C.C.C.C.C.C.O.O
ZINC000100128032	CC12[C@H]3CC(C[C@H]31)[C@@]2(C)CO	C1[C@@H]2[C@H]3C2CC1C3	C1[C@@H]2[C@H]3C2CC1C3	C.C.CO
ZINC000095623222	CCCC/C=C\CCCCCCCC(=O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCC	None	None	None
ZINC000150364532	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC	None	None	None
ZINC000141218935	CC1=C[C@@H]2O[C@H]3[C@H](O)C[C@@](C)([C@]2(C)CC1)[C@@]31CO1	C1C[C@H]2[C@@H]3CC[C@@H]([C@]34CO4)O[C@H]2C=C1	C1C[C@H]2[C@@H]3CC[C@@H]([C@]34CO4)O[C@H]2C=C1	C.C.C.O
ZINC000169794811	CCCCOC(=O)c1ccccc1OC[C@@H]1C[N+]23CCO[B-]2(OCC3)O1	[B-]123[N+](CCO1)(CCO2)C[C@H](O3)COc4ccccc4	[B-]123[N+](CCO1)(CCO2)CCO3.c1ccccc1	CCCCOC=O
ZINC000085587701	CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)[C@H](O)CCCCCCCCCCCCCCC	None	None	None
