smiles	zinc_id	tags
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC	ZINC000261496082	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC	ZINC000150364519	endogenous in-man
C[C@]1(O)[C@H]2[C@H](O[C@H]3O[C@@H](COC(=O)/C=C/c4ccc(O)c(O)c4)[C@H](O)[C@@H](O)[C@@H]3O)OC=C(C(=O)O)[C@@H]2C[C@H]1O	ZINC000257670210	endogenous in-man
CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCC	ZINC000085831544	endogenous in-man
CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	ZINC000150359700	endogenous in-man
COc1cc([C@@H]2Oc3ccc([C@H]4CC(=O)c5c(O)cc(O)cc5O4)cc3O[C@@H]2CO)ccc1O	ZINC000230075702	endogenous in-man
C[C@@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	ZINC000016248854	endogenous in-man
C=C1[C@@H]2C[C@@H](OC(C)=O)[C@]3(C)[C@H](c4ccoc4)OC(=O)[C@H](O)[C@@]13O[C@H]1C[C@H](OC(C)=O)C(C)(C)[C@H](CC(=O)OC)[C@@]12C	ZINC000100782111	endogenous in-man
CC1(C)Oc2cc(O)c3c(c2C[C@@H]1O)OC[C@@H](c1ccc(O)cc1O)C3=O	ZINC000013416208	endogenous in-man
CC1(C)CC(=O)[C@@H]2O[C@]2(C)C1=O	ZINC000095618206	endogenous in-man
COc1cc([C@@H]2c3cc(O)c(OC)cc3C[C@H](CO)[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)ccc1O	ZINC000257436285	endogenous in-man
CC(C)(C[N+](C)(C)Cc1ccccc1)[C@@H]1O[C@@H]2CCCC[C@@H]2[C@@H]2C=CCC[C@H]21	ZINC000229844389	biogenic
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCC	ZINC000261497675	endogenous in-man
COc1ccc2c(c1)[C@@]1(CCN(S(=O)(=O)c3cc(F)ccc3C)C1)C(=O)N2	ZINC000065249023	biogenic
O=C(O)/C(O)=C/c1ccc(O)cc1	ZINC000024449561	endogenous in-man
C=C1C(=O)O[C@@H]2[C@H]3[C@@H](C=O)CC[C@@H](O)[C@]3(C)C[C@H](O)[C@@H]12	ZINC000034400106	biogenic in-vitro
CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC	ZINC000095622350	endogenous in-man
C=C(C)[C@@H]1CC=C(C(=O)O[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)CC1	ZINC000257393892	endogenous in-man
CCCCCCCCCCCCCCCCCCC[C@@H](C=O)CCCCCCCCC	ZINC000086047368	endogenous in-man
CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC	ZINC000085560388	endogenous in-man
COc1c(-c2ccc(O)c(O)c2)oc2c3c(cc(O)c2c1=O)OCO3	ZINC000014437098	endogenous in-man
C=CC(C)(C)c1cc2cc(CC=C(C)C)c(O)c(OC)c2oc1=O	ZINC000015263544	endogenous in-man
